date,912101A,912105A,915011A,915206A,917107A
1911-06-02,28.58357,28.53814,24.654,28.47769,26.35376
1911-06-03,28.44171,28.35359,25.87655,27.30256,26.66502
1911-06-04,27.24148,27.13144,24.36053,24.76815,26.41195
1911-06-05,25.1226,25.05295,23.10151,23.92147,26.98159
1911-06-06,25.5595,25.48469,22.35586,24.68906,25.36908
1911-06-07,26.03243,25.93344,23.05249,24.11958,24.58767
1911-06-08,22.20054,22.16103,20.52632,21.36797,24.57845
1911-06-09,22.69342,22.64928,19.47436,21.71007,22.91462
1911-06-10,23.34276,23.28401,20.40064,22.64495,23.55887
1911-06-11,22.61748,22.561,19.12727,21.63333,21.8021
1911-06-12,21.39489,21.33087,18.03746,20.21887,20.53949
1911-06-13,23.71447,23.66359,21.35585,24.29753,23.00326
1911-06-14,25.55832,25.53227,21.55996,26.48069,22.97791
1911-06-15,25.79762,25.77799,23.13585,27.4149,23.47599
1911-06-16,26.81497,26.79415,23.47171,27.82636,24.53247
1911-06-17,26.59985,26.59603,24.62401,29.45245,24.58253
1911-06-18,26.31074,26.31517,24.45172,28.64213,25.92524
1911-06-19,24.5412,24.46346,23.26563,22.95864,26.67661
1911-06-20,21.24452,21.19142,17.73102,19.94029,23.36569
1911-06-21,20.81487,20.76248,16.77846,19.33483,20.79559
1911-06-22,18.97797,18.9275,15.88745,18.09498,19.74988
1911-06-23,21.10979,21.06526,16.57619,20.27961,19.64838
1911-06-24,23.19972,23.13248,20.33968,23.23546,21.86214
1911-06-25,26.03246,25.97699,20.97334,25.48666,23.02779
1911-06-26,27.47189,27.41731,21.8529,26.65951,23.48483
1911-06-27,27.08919,27.04298,21.35607,26.15035,23.40128
1911-06-28,26.56958,26.5147,20.54099,25.36098,22.60484
1911-06-29,24.71312,24.66471,20.02783,25.49605,21.7455
1911-06-30,26.76889,26.70929,21.04229,25.77429,22.95548
1911-07-01,26.36135,26.29792,21.12329,26.00563,21.93363
1911-07-02,26.47396,26.41429,20.63765,25.95309,21.61189
1911-07-03,27.09567,27.02662,21.4455,26.32942,22.33454
1911-07-04,26.62991,26.56806,22.67536,26.99172,23.67926
1911-07-05,25.27871,25.22881,23.12679,27.45603,24.35227
1911-07-06,25.16302,25.08226,23.75969,26.34208,25.04264
1911-07-07,26.10082,26.0364,24.90817,26.94185,25.82554
1911-07-08,26.88562,26.87418,24.97839,28.96796,25.56444
1911-07-09,28.00895,27.9985,25.19379,28.19844,25.19753
1911-07-10,29.24736,29.22452,26.10259,29.91162,26.74541
1911-07-11,31.01601,31.00879,26.76494,30.89279,26.99237
1911-07-12,30.75575,30.7287,27.62785,31.20353,27.11589
1911-07-13,27.70533,27.63198,23.51165,25.46413,26.88283
1911-07-14,24.05071,23.98945,20.16669,21.98307,24.54411
1911-07-15,23.09723,23.04303,19.07082,22.10417,23.32902
1911-07-16,25.26455,25.20433,22.78818,25.4905,23.99083
1911-07-17,26.67473,26.65179,23.68939,27.2515,25.11409
1911-07-18,27.85704,27.7912,24.05629,26.52834,25.93468
1911-07-19,24.5805,24.51546,20.43239,22.69525,24.20309
1911-07-20,26.48387,26.42424,22.27298,25.25377,23.66406
1911-07-21,25.2837,25.21166,22.69862,24.78103,23.5476
1911-07-22,20.5473,20.47069,19.69626,19.39321,22.95502
1911-07-23,19.91881,19.8546,18.90229,18.80342,22.95012
1911-07-24,19.65638,19.59629,17.00398,18.60072,21.12668
1911-07-25,21.4888,21.42417,17.32767,21.02639,20.41845
1911-07-26,23.03353,22.97774,19.66549,23.68033,21.66422
1911-07-27,23.76026,23.71013,21.06903,23.91881,22.66554
1911-07-28,25.87995,25.81641,22.5553,25.48451,24.08651
1911-07-29,27.99762,27.93632,22.76161,27.28655,24.26683
1911-07-30,27.31101,27.25058,22.01043,25.71698,24.23799
1911-07-31,25.63477,25.57281,21.62002,24.48761,24.1427
1911-08-01,27.26348,27.2246,22.97063,26.3754,24.41862
1911-08-02,27.85491,27.82146,22.41666,27.2543,24.13129
1911-08-03,28.45462,28.42332,23.28506,28.54094,24.42434
1911-08-04,27.34004,27.33175,22.97944,28.2878,23.96953
1911-08-05,28.53016,28.49991,22.65985,28.3965,23.96823
1911-08-06,28.50479,28.48288,22.8526,28.07025,24.12884
1911-08-07,28.04601,28.01395,22.43745,26.9697,23.7088
1911-08-08,26.05649,26.03198,22.95193,27.33246,23.77628
1911-08-09,27.83064,27.79676,22.59851,28.04328,23.93874
1911-08-10,26.02265,26.00167,22.87413,28.29905,24.20245
1911-08-11,25.7957,25.79735,23.78204,28.86564,24.66894
1911-08-12,27.93218,27.91486,24.34025,29.57928,24.72647
1911-08-13,29.35017,29.32335,25.03975,29.56046,25.62047
1911-08-14,27.81652,27.78485,26.28535,28.73172,26.30783
1911-08-15,29.75909,29.75491,27.62204,30.9739,27.81994
1911-08-16,29.61536,29.6012,27.90524,30.9642,27.65707
1911-08-17,30.43878,30.35992,27.66331,28.9411,27.61959
1911-08-18,31.92209,31.85103,27.2308,30.05069,27.54277
1911-08-19,25.79798,25.73624,26.45198,26.401,27.04919
1911-08-20,27.50985,27.4659,26.45441,28.49545,26.37687
1911-08-21,27.67261,27.65933,26.74408,29.53306,26.87165
1911-08-22,26.36389,26.30809,26.71895,25.85045,27.45477
1911-08-23,28.57686,28.49814,24.06257,26.11027,27.76193
1911-08-24,26.78116,26.71381,22.81691,24.84249,26.92226
1911-08-25,24.55162,24.49624,20.58651,22.92306,24.16137
1911-08-26,24.67941,24.6246,21.08445,23.59514,24.59406
1911-08-27,27.74906,27.69648,24.72609,27.50669,25.37521
1911-08-28,29.93069,29.87326,24.36164,28.35593,25.76872
1911-08-29,29.26969,29.2208,24.99881,28.97587,25.14501
1911-08-30,27.85053,27.82992,24.3153,29.68741,25.46514
1911-08-31,27.92426,27.91069,24.37889,29.61058,25.50076
1911-09-01,28.54485,28.56004,26.10932,31.1104,26.73117
1911-09-02,30.17804,30.12781,26.77788,28.49585,28.6218
1911-09-03,28.77143,28.7111,25.47891,26.56439,28.63331
1911-09-04,28.45522,28.3921,26.17399,27.13768,28.3372
1911-09-05,31.16974,31.10517,26.93123,30.05645,28.57984
1911-09-06,32.66085,32.61527,27.50377,31.75808,27.72914
1911-09-07,32.31564,32.31121,27.72667,31.52656,27.97495
1911-09-08,30.49828,30.52006,29.06945,31.88897,28.84455
1911-09-09,31.68574,31.69542,29.13697,33.63616,29.17906
1911-09-10,33.6705,33.61322,29.45358,32.13368,29.61757
1911-09-11,31.00454,30.98198,29.70087,32.6968,29.5035
1911-09-12,30.58034,30.57416,29.98887,33.01629,29.36242
1911-09-13,32.10465,32.09844,29.67199,34.33098,29.67956
1911-09-14,30.81042,30.83992,28.56149,34.12276,28.92549
1911-09-15,30.54805,30.54667,30.53907,30.76312,30.47072
1911-09-16,27.96097,27.90835,24.84171,25.84372,30.13002
1911-09-17,31.30703,31.25073,26.20949,29.73993,28.19325
1911-09-18,29.00976,28.996,26.47679,30.33123,27.49476
1911-09-19,29.26183,29.27411,26.97744,31.51567,27.80296
1911-09-20,30.01362,30.04663,27.77795,32.09202,28.11053
1911-09-21,29.99422,30.02843,28.6488,32.22202,28.77317
1911-09-22,29.83991,29.829,29.4277,31.30817,29.36157
1911-09-23,34.49908,34.45252,28.79952,32.61317,29.75254
1911-09-24,33.02253,32.99051,28.25553,32.80184,29.30845
1911-09-25,31.30919,31.32294,29.46492,33.52482,29.81441
1911-09-26,30.13813,30.1447,29.32798,31.94386,29.39338
1911-09-27,28.81472,28.76393,29.15956,28.91405,29.27602
1911-09-28,30.35922,30.25909,29.55964,28.82943,30.11732
1911-09-29,30.14188,30.01383,28.29652,28.26988,30.10344
1911-09-30,29.70342,29.62211,28.67137,28.07648,30.9005
1911-10-01,32.27163,32.21972,29.71419,31.36025,31.06866
1911-10-02,36.59755,36.55202,30.84883,35.2322,31.78577
1911-10-03,37.03894,36.98862,31.47217,36.89091,31.98385
1911-10-04,32.34593,32.309,31.31025,34.26357,32.10926
1911-10-05,33.59051,33.57085,33.17794,35.35873,32.65336
1911-10-06,35.41231,35.38812,33.14713,35.62373,32.82988
1911-10-07,35.56928,35.52467,33.28951,36.61715,33.17621
1911-10-08,34.48154,34.47819,31.63094,34.82455,30.73695
1911-10-09,34.32517,34.3213,30.06104,33.51297,30.77131
1911-10-10,36.66113,36.629,30.62106,35.35879,31.8246
1911-10-11,37.2669,37.26839,32.98228,36.45403,32.89028
1911-10-12,35.34282,35.36065,33.31735,36.37548,32.9956
1911-10-13,35.26851,35.30344,34.14655,37.21611,33.74571
1911-10-14,36.49081,36.53248,35.19373,38.65422,35.05021
1911-10-15,35.16019,35.16058,34.69554,37.72375,33.79052
1911-10-16,35.25911,35.21179,33.77662,34.50318,32.74507
1911-10-17,36.48884,36.38806,32.76139,34.78596,33.11347
1911-10-18,34.42113,34.37669,26.71924,31.53934,31.00225
1911-10-19,33.61211,33.57755,29.62656,31.89307,31.7832
1911-10-20,36.47104,36.44796,31.27489,36.34829,31.44806
1911-10-21,34.65997,34.66882,31.39957,36.39793,31.5462
1911-10-22,35.05623,35.07781,31.71236,36.49862,31.87372
1911-10-23,34.43342,34.47585,32.77696,37.38631,32.42144
1911-10-24,35.16701,35.21088,34.07903,36.08611,33.19666
1911-10-25,38.6348,38.59514,35.81308,37.05146,35.57004
